dataset_id,dataset_name,scientific_purpose,provider,exact_resource,preferred_file,version_or_release,download_url_or_API,estimated_size,requires_login,requires_controlled_access,sample_level,genome_build,identifier_type,expected_columns,priority,already_available_locally,local_equivalent,download_required,notes,acquisition_mode,recommended_bundle,estimated_bytes
depmap_readme,README.txt,"Release semantics, score and identifier definitions",Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51065795,README.txt,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51065795,43103 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),text documentation,2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,43103
prism_response,secondary-screen-dose-response-curve-parameters.csv,Selective therapeutic response hypothesis generation,Broad PRISM / Figshare,https://ndownloader.figshare.com/files/20237739,secondary-screen-dose-response-curve-parameters.csv,PRISM Repurposing 19Q4 v4; DOI 10.6084/m9.figshare.9393293.v4,https://ndownloader.figshare.com/files/20237739,264340589 bytes,no,no,cell line/model,not applicable,"depmap_id ACH-,broad_id,screen_id","broad_id,depmap_id,ccle_name,screen_id,auc,ec50,ic50,r2,passed_str_profiling,moa,target",2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,264340589
prism_treatment,secondary-screen-replicate-treatment-info.csv,"Compound identities, concentrations and screen replicates",Broad PRISM / Figshare,https://ndownloader.figshare.com/files/20237760,secondary-screen-replicate-treatment-info.csv,PRISM Repurposing 19Q4 v4; DOI 10.6084/m9.figshare.9393293.v4,https://ndownloader.figshare.com/files/20237760,15690740 bytes,no,no,cell line/model,not applicable,"depmap_id ACH-,broad_id,screen_id","broad_id,dose,screen_id,compound_plate,well,name,moa,target",2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,15690740
prism_models,secondary-screen-cell-line-info.csv,Response model identity and tissue QC,Broad PRISM / Figshare,https://ndownloader.figshare.com/files/20237769,secondary-screen-cell-line-info.csv,PRISM Repurposing 19Q4 v4; DOI 10.6084/m9.figshare.9393293.v4,https://ndownloader.figshare.com/files/20237769,40979 bytes,no,no,cell line/model,not applicable,"depmap_id ACH-,broad_id,screen_id","row_name,depmap_id,ccle_name,primary_tissue,passed_str_profiling",2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,40979
prism_readme,secondary-screen-readme.txt,Replicate and dose-response interpretation,Broad PRISM / Figshare,https://ndownloader.figshare.com/files/20238123,secondary-screen-readme.txt,PRISM Repurposing 19Q4 v4; DOI 10.6084/m9.figshare.9393293.v4,https://ndownloader.figshare.com/files/20238123,7647 bytes,no,no,cell line/model,not applicable,"depmap_id ACH-,broad_id,screen_id",text documentation,2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,7647
gdsc_response,GDSC2_fitted_dose_response_24Jul22.csv,Optional orthogonal pharmacogenomic replication,Sanger GDSC,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/GDSC2_fitted_dose_response_24Jul22.csv,GDSC2_fitted_dose_response_24Jul22.csv,8.4; 24Jul22 dated response payload,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/GDSC2_fitted_dose_response_24Jul22.csv,39834719 bytes,no,no,cell line/model,not applicable,"COSMIC_ID,SANGER_MODEL_ID,DRUG_ID","COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,DRUG_ID,DRUG_NAME,WEBRELEASE,LN_IC50,AUC,RMSE",2,no,,optional,Verified GET URL; current_release directory is mutable. Freeze obtained SHA256 and reviewed crosswalk to ACH IDs; do not fuzzy-join cell line names or pool incompatible response scales.,automatic,False,39834719
gdsc_models,Cell_Lines_Details.xlsx,Optional orthogonal pharmacogenomic replication,Sanger GDSC,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/Cell_Lines_Details.xlsx,Cell_Lines_Details.xlsx,8.4; 24Jul22 dated response payload,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/Cell_Lines_Details.xlsx,117316 bytes,no,no,cell line/model,not applicable,"COSMIC_ID,SANGER_MODEL_ID,DRUG_ID",COSMIC/Sanger IDs and tissue; inspect workbook,2,no,,optional,Verified GET URL; current_release directory is mutable. Freeze obtained SHA256 and reviewed crosswalk to ACH IDs; do not fuzzy-join cell line names or pool incompatible response scales.,automatic,False,117316
gdsc_compounds,screened_compounds_rel_8.4.csv,Optional orthogonal pharmacogenomic replication,Sanger GDSC,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/screened_compounds_rel_8.4.csv,screened_compounds_rel_8.4.csv,8.4; 24Jul22 dated response payload,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/screened_compounds_rel_8.4.csv,46414 bytes,no,no,cell line/model,not applicable,"COSMIC_ID,SANGER_MODEL_ID,DRUG_ID","DRUG_ID,SCREENING_SITE,DRUG_NAME,SYNONYMS,TARGET,TARGET_PATHWAY",2,no,,optional,Verified GET URL; current_release directory is mutable. Freeze obtained SHA256 and reviewed crosswalk to ACH IDs; do not fuzzy-join cell line names or pool incompatible response scales.,automatic,False,46414
ctrp,CTRP v2 drug-response data,Optional alternative pharmacogenomic replication,Broad / NCI CTD2,https://portals.broadinstitute.org/ctrp/,ctrp,CTRP v2; exact packaged release pending,https://portals.broadinstitute.org/ctrp/,unknown; manual acquisition assessment,manual verification for exact asset,not required for intended published processed summary; exact asset unresolved,cell line/model,not applicable,CTRP experiment/model/compound IDs; reviewed DepMap crosswalk required,"model ID,compound ID,dose,response,AUC,replicate QC",2,no,,optional,"Manual acquisition: no stable exact package verified. NCI CTD2 packages are migrating to https://studycatalog.cancer.gov ; record terms, version and schema. Not needed if PRISM and GDSC are sufficient.",manual,False,
local_clinical,TCGA-BRCA clinical,Clinical TNBC definition,Audited frozen local source,local read-only; see outputs/acquisition/local_reuse_plan.csv,BRCA_clinicalMatrix.tsv.gz,Local audit 2026-09-06; upstream version to confirm,local read-only; see outputs/acquisition/local_reuse_plan.csv,unknown; manual acquisition assessment,no,no,patient/tumor sample; preserve aliquot mapping,not applicable,TCGA barcode,Exact audited columns in outputs/audit/dataset_summary.csv,1,yes,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\BRCA_clinicalMatrix.tsv.gz,no,reuse clinical IHC; adjudicate equivocal HER2 using available ISH/FISH; no expression-median TNBC,reuse,False,
local_survival,TCGA survival,Secondary clinical outcomes,Audited frozen local source,local read-only; see outputs/acquisition/local_reuse_plan.csv,BRCA_survival.txt,Local audit 2026-09-06; upstream version to confirm,local read-only; see outputs/acquisition/local_reuse_plan.csv,unknown; manual acquisition assessment,no,no,patient/tumor sample; preserve aliquot mapping,not applicable,TCGA barcode,Exact audited columns in outputs/audit/dataset_summary.csv,1,yes,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\BRCA_survival.txt,no,reuse OS/DSS/DFI/PFI with endpoint and patient deduplication QC,reuse,False,
local_metabric,METABRIC,Independent clinical TNBC expression replication,METABRIC / cBioPortal; local audited copy,local read-only; see outputs/acquisition/local_reuse_plan.csv,brca_metabric.tar.gz; brca_metabric_clinical_data.tsv; data_mrna_illumina_microarray.txt; data_cna.txt; data_mutations.txt; data_methylation_promoters_rrbs.txt,Local audit 2026-09-06; upstream version to confirm,local read-only; see outputs/acquisition/local_reuse_plan.csv,unknown; manual acquisition assessment,no,no,patient/tumor bulk expression and clinical annotations,platform/gene identifiers; confirm upstream annotation,MB- and MTS- sample IDs; patient crosswalk required,Exact audited columns in outputs/audit/dataset_summary.csv,3,yes,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\brca_metabric.tar.gz; E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\brca_metabric_clinical_data.tsv; E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_mrna_illumina_microarray.txt; E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_cna.txt; E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_mutations.txt; E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_methylation_promoters_rrbs.txt,no,conditional reuse for BRCA1 promoter methylation; probe/coordinate QC required; not central outcome; reuse independent expression/clinical validation; no local validated HRD/SBS3; do not label gene-CNA score as scar HRD,reuse,False,
local_gse25066,GSE25066,Independent neoadjuvant response validation,NCBI GEO GSE25066; local audited copy,local read-only; see outputs/acquisition/local_reuse_plan.csv,GSE25066_series_matrix.txt.gz; GSE25066_RAW.tar,Local audit 2026-09-06; upstream version to confirm,local read-only; see outputs/acquisition/local_reuse_plan.csv,unknown; manual acquisition assessment,no,no,patient pretreatment bulk tumor array,GPL96 annotation; no genomic interval assumption,GSM sample accession; GPL96 Affymetrix probe set,Exact audited columns in outputs/audit/dataset_summary.csv,3,yes,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE25066_series_matrix.txt.gz; E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE25066_RAW.tar,no,reuse GPL96 array and clinical response/DRFS; obtain GPL96 annotation; treatment response is not direct HRD,reuse,False,
local_gse176078,GSE176078,Tumor epithelial expression specificity,NCBI GEO GSE176078; local audited copy,local read-only; see outputs/acquisition/local_reuse_plan.csv,GSE176078_Wu_etal_2021_BRCA_scRNASeq.tar.gz; metadata.csv,Local audit 2026-09-06; upstream version to confirm,local read-only; see outputs/acquisition/local_reuse_plan.csv,unknown; manual acquisition assessment,no,no,single cell nested in donor/sample,verify feature annotation and source reference before use,cell barcode plus orig.ident; donor crosswalk required,Exact audited columns in outputs/audit/dataset_summary.csv,3,yes,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE176078_Wu_etal_2021_BRCA_scRNASeq.tar.gz; E:\apply\journal publication\TNBC_SV_DNA_Repair\results\sc_extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,no,"reuse archived matrix/features/barcodes and metadata; future extraction only under V2; donor-level epithelial specificity, not HRD validation",reuse,False,
gpl96,GSE25066 GPL96 platform annotation,Validated probe-to-gene mapping for independent cohort,NCBI GEO,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL96/annot/GPL96.annot.gz,GPL96.annot.gz,GEO GPL96 annotation snapshot at acquisition,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL96/annot/GPL96.annot.gz,4522748 bytes,no,no,patient/tumor sample; preserve aliquot mapping,not applicable,Affymetrix probe set ID; Entrez/symbol,"ID,Gene symbol,Gene ID; GEO annotation preamble and literal columns to verify",3,no,,yes,"GSE25066 is GPL96, not GPL570. Preserve ambiguous/multi-gene probe mappings; prespecify aggregation later.",automatic,True,4522748
